Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
13/3/18,2765.310059,113.599998,115.663467,564.059998,36.394726,74.557175,168.646301,1139.910034,161.547226,315.880005
14/3/18,2749.47998,112.610001,114.370018,558.960022,35.998592,73.123955,166.262436,1148.890015,158.965958,321.549988
15/3/18,2747.330078,111.989998,114.658554,557.929993,36.226372,72.99456,166.052963,1150.609985,159.323364,321.089996
16/3/18,2752.01001,111.639999,114.857552,563.659973,36.424435,73.123955,166.87088,1134.420044,158.668137,318.450012
19/3/18,2712.919922,110.360001,113.952141,553.830017,35.978786,72.357582,164.965775,1100.069946,156.861237,313.480011
20/3/18,2716.939941,109.900002,114.061584,557.52002,35.978786,72.576546,167.030472,1095.800049,156.126572,317.5
21/3/18,2711.929932,108.739998,114.161079,564.159973,35.919365,72.974663,166.781113,1094,157.099518,316.480011
22/3/18,2643.689941,107.940002,109.395248,539.419983,35.25584,69.978836,160.497269,1053.150024,154.359406,306.700012
23/3/18,2588.26001,106.150002,106.470085,521.130005,34.156574,67.580193,158.013641,1026.550049,151.529953,300.940002
26/3/18,2658.550049,106.809998,109.753433,540.719971,34.701256,69.451332,162.881134,1054.089966,152.334106,320.350006
27/3/18,2612.620117,107.639999,107.624229,532.109985,34.671543,67.958397,159.130768,1006.940002,151.698715,300.690002
28/3/18,2605,109.18,107.455086,528.030029,34.958744,67.938499,158.532318,1005.179993,150.08046,285.769989
29/3/18,2640.870117,109.150002,109.415154,541.719971,35.146908,67.182076,160.886261,1037.140015,152.006485,295.350006
2/4/18,2581.879883,107.050003,107.305847,519,34.711159,67.391083,158.253036,1012.630005,149.375595,280.290009
3/4/18,2614.449951,108.190002,108.778381,528.72998,35.335072,68.157463,160.457367,1018.679993,150.14003,283.670013
4/4/18,2644.689941,110.18,110.43,536.309998,35.78072,68.983543,161.843796,1029.709961,150.50737,288.940002
5/4/18,2662.840088,110.57,111.879997,538.400024,35.384586,69.889267,161.813873,1032.640015,151.510086,293.970001
6/4/18,2604.469971,109.300003,109.089996,519.919983,34.829998,68.276894,158.582199,1009.950012,147.44957,288.850006
9/4/18,2613.159912,109.379997,110.400002,521.140015,35.117195,69.112938,159.050995,1020.090027,145.732025,289.929993
10/4/18,2656.870117,109.400002,112.510002,533.960022,35.602459,70.177902,162.222824,1036.5,148.740204,298.070007
11/4/18,2642.189941,108.68,110.620003,525.309998,35.444008,69.560814,161.983429,1025.060059,147.856598,303.670013
12/4/18,2663.98999,108.309998,113.370003,533.01001,35.968884,71.79026,163.529465,1037.290039,147.955887,309.25
13/4/18,2656.300049,109.260002,110.300003,524.77002,35.968884,70.675545,162.472183,1036.040039,147.519058,311.649994
16/4/18,2677.840088,109.919998,110.209999,524.849976,36.176849,69.739967,163.958359,1046.099976,152.463181,307.779999
17/4/18,2706.389893,108.870003,110.209999,526.840027,35.978786,69.411522,165.514359,1079.359985,152.423462,336.059998
18/4/18,2708.639893,106.980003,109.32,523.219971,36.137241,68.655106,166.042999,1075.390015,153.604889,334.519989
19/4/18,2693.129883,105.57,111.720001,525.059998,36.176849,69.948982,165.294922,1089.449951,150.914413,332.700012
